symbol,name,company_id
BRISA,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,4028e4a140e95bea0140ee33bff201cd
BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,4028e4a240e95dc90140ee21c40601aa
BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,4028e4a1413b7ef4014144cf3f7b0075
BRKT,BEREKET VARLIK KİRALAMA A.Ş.,8acae2c4508ff7260151497fffa30e9e
BRKVY,BİRİKİM VARLIK YÖNETİM A.Ş.,8acae2c562329bd10162b9ff7a6b53d6
BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,8acae2c4794d3648017aa01a43690c1f
BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,4028e4a240e95dc90140ee243b5b01ba
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,4028e4a140f2ed7201412ac9ca5d06e6
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,4028e4a1415f4d9b0141603cd3904103
BSOKE,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,4028e4a24158e42401415920fc3308c5
BSRFK,BAŞER FİNANS FAKTORİNG A.Ş.,4028e4a1416e696501416f7dd13c7b4b
BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,4028e4a140e95be70140ee07044700eb
BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,4028e4a140ee35c00140ee41a5e4000f
BULGS,BULLS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,8acae2c47afb298b017ceaa8534b5036
BUR,BURGAN BANK A.Ş.,4028e4a140ee35c70140ee3e44840009
BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,4028e4a14158e41e01415b2636586ca7
BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,4028e4a14158e41e01415b2789266cb6
BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,8acae2c5830502c30185dea8694c5722
BYDNR,BAYDÖNER RESTORANLARI A.Ş.,8acae2c586d22c510189de64baa92725
CAGFA,ÇAĞDAŞ FAKTORİNG A.Ş.,4028e4a1486ec80a0148b0f695d4648d
CANTE,ÇAN2 TERMİK A.Ş.,8acae2c578080f31017811f4dca6032d
CASA,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ VE TİCARET A.Ş.,4028e4a240f2ef4c01413acf8cda06cc
CATES,ÇATES ELEKTRİK ÜRETİM A.Ş.,8acae2c58b2fa64e018bfaefef6b6fcd
CCOLA,COCA-COLA İÇECEK A.Ş.,4028e4a140ee35c00140ee586bdd0034
CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,4028e4a240f2ef4c0141164dd92d044c
CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,4028e4a140f2ed7201413b14392508fb
CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,4028e4a140ee84900140f1f334ce0025
CEMZY,CEM ZEYTİN A.Ş.,8acae2c49145e00b01918463cdec27bb
CEOEM,CEO EVENT MEDYA A.Ş.,8acae2c469cee2a20169ed8afa9112ee
CGCAM,ÇAĞDAŞ CAM SANAYİ VE TİCARET A.Ş.,8acae2c59145e00e01939c2384406d96
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,4028e4a240ee866c0140f1f64bdb0014
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,4028e4a140ee84900140f1f1584c0015
CLKMT,ÇELİK MOTOR TİCARET A.Ş.,4028e4a1415f4d9b01416002f6573cff
CMBTN,ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,4028e4a24158e42401415ad0dece7d3a
